Action ID	Label	Description	Context Categories	Source Origins	Notes
action-wait-for-approval-gates	Wait for approval gates	Stop after each mini-section until Taylor says continue — external pacing control	accountability-structure:0.75;playful-psychological:0.50	punishment|Cognitive 100|79	Safety/structure: No unnecessary long waits.
action-wait-for-explicit-next-before-continuing-a-harmless-sequence	Wait for explicit 'next' before continuing a harmless sequence	Externally controlled pacing	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|72	Safety/structure: Set a max total time.
action-wait-in-designated-spot-until-formally-dismissed	Wait in designated spot until formally dismissed	protocol + anticipation	accountability-structure:0.50;protocol-obedience:1.00	punishment|Sensory-Control 100|98	Safety/structure: Known short max.
action-wait-in-position-before-consequence	Wait in position before consequence	anticipation — not knowing exact start moment	playful-psychological:1.00	punishment|Creative Pain 100|84	Safety/structure: Short pre-agreed window.
action-wait-in-position-before-knowing-the-punishment	Wait in position before knowing the punishment	Anticipation	playful-psychological:1.00	punishment|Creative Punishments|28	Use a pre-agreed maximum wait.
action-walk-slowly-across-the-room-under-direction	Walk slowly across the room under direction	Motor pacing restriction	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|68	Safety/structure: Clear floor, no balance risk.
action-wall-sit-counted-taps	Wall sit + counted taps	burn + impact + counting — layered punishment without needing extreme intensity	accountability-structure:0.50;playful-psychological:0.75	punishment|Pain Batch 2|15	
action-wall-sit-while-listening-to-correction	Wall sit while listening to correction	Physical + psychological	accountability-structure:0.50;playful-psychological:0.75	punishment|Creative Punishments|40	Keep both duration and wording bounded.
action-wall-sit-with-hidden-timer-and-known-max	Wall sit with hidden timer and known max	muscle burn — bounded uncertainty	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|44	Safety/structure: Maximum stated in advance.
action-wall-sit-with-visible-timer	Wall sit with visible timer	muscle burn — watching the clock	accountability-structure:0.75;sensory-intensity:0.50	punishment|Creative Pain 100|43	Safety/structure: Known endpoint.
action-warm-bath-then-immediate-cozy-wrap-up	Warm bath then immediate cozy wrap-up	sensory transition + care	sensory-intensity:1.00	reward|Rewards 100|90	Comfort-focused.
action-warm-towel-after-bath-shower	Warm towel after bath/shower	sensory comfort + thoughtfulness	care-pampering:1.00	reward|Rewards 100|13	Simple add-on.
action-wash-face-without-immediately-towel-drying	Wash face without immediately towel-drying	wet-face persistence	sensory-intensity:1.00	punishment|Sensory-Control 100|12	Safety/structure: Short wait only.
action-watch-taylor-do-a-harmless-task-inefficiently-without-correcting	Watch Taylor do a harmless task inefficiently without correcting	suppressed optimization urge	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|81	Safety/structure: No consequential task.
action-watch-taylor-perform-a-tiny-task-inefficiently-without-correcting-him	Watch Taylor perform a tiny task inefficiently without correcting him	Suppressed optimization impulse	accountability-structure:0.75;playful-psychological:0.50	punishment|Nontraditional 100|101	Safety/structure: Keep playful; no consequential task.
action-wear-a-shirt-with-one-harmless-fabric-fold-left-unfixed	Wear a shirt with one harmless fabric fold left unfixed	Persistent clothing wrongness	sensory-intensity:1.00	punishment|Nontraditional 100|55	Safety/structure: No seam pressure that causes pain.
action-wear-a-silly-agreed-i-got-a-demerit-token	Wear a silly agreed 'I got a demerit' token	Visible consequence	playful-psychological:1.00	punishment|Creative Punishments|53	Only in contexts both agree to.
action-wear-one-slightly-damp-sock-briefly	Wear one slightly damp sock briefly	Wet fabric + asymmetry	sensory-intensity:1.00	punishment|Nontraditional 100|52	Safety/structure: Clean water, short duration, seated/indoors.
action-wet-hair-left-dripping-for-a-short-period-before-towel	Wet hair left dripping for a short period before towel	persistent wet-body sensation	sensory-intensity:1.00	punishment|Sensory-Control 100|19	Safety/structure: Warm environment; protect floors.
action-wet-washcloth-laid-briefly-across-cheeks-forehead	Wet washcloth laid briefly across cheeks/forehead	persistent facial wetness	sensory-intensity:1.00	punishment|Sensory-Control 100|10	Safety/structure: Keep nose/mouth fully clear.
action-wild-card-taylor-knows-me-reward	Wild-card 'Taylor knows me' reward	Taylor invents something from everything he knows Jackie enjoys	choice-privilege:0.75;playful-psychological:0.50	reward|Rewards 100|101	Must stay inside known preferences/limits.
action-wildcard-reward-day	Wildcard reward day	Taylor spontaneously decides what deserves recognition	choice-privilege:0.75;playful-psychological:1.00	reward|Rewards Bonus|59	Keeps system alive and relational.
action-window-shopping-trip-with-drinks	Window-shopping trip with drinks	wandering + connection + novelty	choice-privilege:1.00	reward|Rewards 100|54	Already confirmed reward.
action-wooden-paddle	Wooden paddle	deeper thud + sting — ritualized punishment	impact:1.00	punishment|Creative Pain 100|5	Safety/structure: Intensity ramps quickly; use conservative force.
action-wooden-spoon	Wooden spoon	small, sharp impact — strong domestic-discipline association	impact:1.00	punishment|Pain Batch 2|4	
action-wooden-spoon-taps	Wooden spoon taps	small sharp sting — domestic punishment vibe	impact:1.00	punishment|Creative Pain 100|7	Safety/structure: Use light, controlled taps.
action-write-a-list-with-one-bullet-intentionally-unfinished	Write a list with one bullet intentionally unfinished	language completion itch	playful-psychological:0.75;sensory-intensity:0.50	punishment|Sensory-Control 100|90	Safety/structure: Short duration.
action-write-a-neat-list-but-leave-one-bullet-unfinished	Write a neat list but leave one bullet unfinished	Language/completion itch	playful-psychological:0.75;sensory-intensity:0.50	punishment|Nontraditional 100|31	Safety/structure: Short duration.
action-write-a-short-reflection-before-release	Write a short reflection before release	mental effort — links consequence to behavior	playful-psychological:1.00	punishment|Creative Pain 100|88;punishment|Creative Punishments|23	Safety/structure: Keep it concise. | Keep it concise and specific.
action-write-an-apology-in-intentionally-formal-language	Write an apology in intentionally formal language	Absurd + corrective	playful-psychological:1.00	punishment|Creative Punishments|56	Can keep the tone playful.
action-write-exactly-50-words	Write exactly 50 words	Precision + stopping at boundary — hard output constraint	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|59	Safety/structure: Harmless topic.
action-write-five-lines-extremely-slowly-and-neatly	Write five lines extremely slowly and neatly	Pacing frustration	accountability-structure:0.50;restraint-control:0.75	punishment|Nontraditional 100|62	Safety/structure: Use a short set; no hand strain.
action-write-five-lines-very-slowly-and-neatly	Write five lines very slowly and neatly	forced pacing	accountability-structure:0.75;restraint-control:0.50	punishment|Sensory-Control 100|78	Safety/structure: Avoid hand strain.
action-write-five-neat-sentences-with-non-dominant-hand	Write five neat sentences with non-dominant hand	Motor frustration + precision — reduced fluency	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|47	Safety/structure: Short duration; no pain.
action-write-lines-tied-to-the-actual-rule	Write lines tied to the actual rule	repetition — corrective ritual	playful-psychological:1.00	punishment|Creative Pain 100|89;punishment|Creative Punishments|24	Safety/structure: Avoid excessive volume. | Avoid excessive volume.
action-write-lines-while-a-metronome-plays	Write lines while a metronome plays	Maintain neatness despite repetitive auditory distraction — attention control	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|42	Safety/structure: Volume comfortable.
action-write-on-a-vertical-whiteboard	Write on a vertical whiteboard	Unfamiliar motor position — novel precision constraint	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|52	Safety/structure: Comfortable shoulder height.
action-write-one-line-with-an-intentionally-awkward-but-safe-grip	Write one line with an intentionally awkward but safe grip	Motor constraint — precision frustration	accountability-structure:0.75;protocol-obedience:0.75	punishment|Cognitive 100|53	Safety/structure: Hand-only grip variation; no mouth-held tools.
action-write-the-answer-before-speaking-it	Write the answer before speaking it	forces internal processing first	protocol-obedience:0.50;restraint-control:1.00	punishment|Sensory-Control 100|55	Safety/structure: Short prompt.
action-written-why-i-love-you-card	Written 'why I love you' card	Short note Jackie can keep and reread	connection-attention:0.50;praise-recognition:0.75	reward|Rewards Bonus|11	High emotional replay value.
action-written-praise-note	Written praise note	something Jackie can reread	praise-recognition:1.00;protocol-obedience:0.50	reward|Rewards 100|69	Short is fine.
action-yes-to-the-hobby-pass	Yes-to-the-hobby pass	Guilt-free block for current obsession	choice-privilege:1.00;playful-psychological:0.50	reward|Rewards Bonus|35	No chore debt attached.
action-you-are-done-for-the-day-ritual	You-are-done-for-the-day ritual	Taylor explicitly declares no more productivity required	care-pampering:0.75;choice-privilege:0.50	reward|Rewards Bonus|20	Strong permission/closure reward.
